2016-04-06 01:48:19,043 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:19,081 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:19,137 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:19,185 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:19,244 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0.2}}
2016-04-06 01:48:19,278 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0.2}}
2016-04-06 01:48:19,323 - message: {u'r': 0, u'l': {u'y': 0.1, u'x': -0.7}}
2016-04-06 01:48:19,377 - message: {u'r': 0, u'l': {u'y': -0.1, u'x': -1}}
2016-04-06 01:48:19,427 - message: {u'r': 0, u'l': {u'y': -0.3, u'x': -1}}
2016-04-06 01:48:19,486 - message: {u'r': 0, u'l': {u'y': -0.4, u'x': -1}}
2016-04-06 01:48:19,527 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:19,577 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:19,630 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:19,677 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:19,776 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:19,793 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:19,829 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:19,874 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:19,927 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:19,985 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:20,028 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:20,077 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:20,135 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:20,179 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:20,241 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:20,278 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:20,331 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:20,379 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:20,424 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:20,483 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:20,530 - message: {u'r': 0, u'l': {u'y': -0.8, u'x': -0.2}}
2016-04-06 01:48:20,577 - message: {u'r': 0, u'l': {u'y': -0.8, u'x': -0.5}}
2016-04-06 01:48:20,628 - message: {u'r': 0, u'l': {u'y': -0.7, u'x': -1}}
2016-04-06 01:48:20,678 - message: {u'r': 0, u'l': {u'y': -0.6, u'x': -1}}
2016-04-06 01:48:20,727 - message: {u'r': 0, u'l': {u'y': -0.6, u'x': -1}}
2016-04-06 01:48:20,777 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:20,828 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:20,881 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:20,936 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:20,985 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:21,028 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:21,077 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:21,131 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:21,183 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:21,231 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:21,283 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:21,328 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:21,377 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:21,428 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:21,479 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:21,533 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:21,577 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:21,629 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:21,677 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:21,731 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:21,781 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:21,834 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
2016-04-06 01:48:21,879 - message: {u'r': 0, u'l': {u'y': 0, u'x': 0}}
